Invoice_ID,Date,Customer_Name,Customer_ID,Region,Product,Category,Product_ID,Quantity,Unit_Price,Total_Amount
INV10000,01-01-2023 00:00,Arjun Desai,1428,Central,Mobile Phone,Electronics,PID147,1,544.48,544.48
INV10001,01-01-2023 01:00,Neha Rao,4162,West,Rice Cooker,Home Appliances,PID145,9,758.62,6827.58
INV10002,01-01-2023 02:00,Arjun Desai,3492,Central,T-Shirt,Clothing,PID113,3,1392.82,4178.46
INV10003,01-01-2023 03:00,Amit Shah,2256,West,T-Shirt,Clothing,PID127,7,1275.7,8929.9
INV10004,01-01-2023 04:00,Sneha Kulkarni,3910,Central,Microwave,Home Appliances,PID134,6,2059.04,12354.24
INV10005,01-01-2023 05:00,Neha Rao,1453,East,LED TV,Electronics,PID106,4,401.62,1606.48
INV10006,01-01-2023 06:00,Priya Singh,1348,North,LED TV,Electronics,PID105,7,1427.63,9993.41
INV10007,01-01-2023 07:00,Neha Rao,4165,Central,Laptop,Electronics,PID129,9,2313.29,20819.61
INV10008,01-01-2023 08:00,Priya Singh,1421,Central,Microwave,Home Appliances,PID136,4,1700.94,6803.76
INV10009,01-01-2023 09:00,Arjun Desai,3762,East,Laptop,Electronics,PID115,6,745.26,4471.56
INV10010,01-01-2023 10:00,Sneha Kulkarni,3537,South,Rice Cooker,Home Appliances,PID142,3,250.3,750.9
INV10011,01-01-2023 11:00,Sneha Kulkarni,1685,West,Jeans,Clothing,PID100,3,1105.72,3317.16
INV10012,01-01-2023 12:00,Amit Shah,4195,South,Rice Cooker,Home Appliances,PID141,7,1220.76,8545.32
INV10013,01-01-2023 13:00,Karan Patel,1581,North,Rice Cooker,Home Appliances,PID116,9,419.3,3773.7
INV10014,01-01-2023 14:00,Neha Rao,3662,South,LED TV,Electronics,PID106,5,1252.49,6262.45
INV10015,01-01-2023 15:00,Amit Shah,2256,North,Jeans,Clothing,PID134,3,1724.14,5172.42
INV10016,01-01-2023 16:00,Amit Shah,4135,West,Laptop,Electronics,PID104,6,1241.27,7447.62
INV10017,01-01-2023 17:00,Ravi Mehta,4678,East,LED TV,Electronics,PID126,8,643.95,5151.6
INV10018,01-01-2023 18:00,Amit Shah,1162,North,Jeans,Clothing,PID129,4,2400.17,9600.68
INV10019,01-01-2023 19:00,Karan Patel,3827,West,Washing Machine,Home Appliances,PID143,7,375.91,2631.37
